SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
3, 0.0000, 0, 0.0103, -0.0350, -0.9996, -0.0637, 0.0248, -0.0368, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0172, 0.0000, 0.2518, -0.0017, 0.0016, 0.0002, 0.0000, 0.0000, 0.0000, 0.0000
2, -0.0000, 0, -0.1966, -0.0535, -0.9963, -0.1755, 0.0853, -0.0755, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0969, -0.0188, 0.0028, 0.0038, 0.0165, 0.0000, 0.0000, 0.0000, 0.0000
1, -0.0000, 0, 0.0612, 0.0120, -0.9959, 0.0384, 0.0128, -0.0051, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2842, -0.3210, 0.7144, -0.5530, -0.0093, 0.9604, 1.2233, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0100, 1, 0.0083, -0.0302, -0.9987, -0.2392, 0.0104, -0.0906, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0173, 0.0000, 0.2518, 0.0003, -0.0032, -0.0007, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.1973, -0.0490, -0.9945, 0.0345, -0.1947, -0.0405, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0969, -0.0188, 0.0034, -0.0007, 0.0147, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0200, 2, 0.0090, -0.0391, -1.0016, 0.4659, 0.0370, -0.0846, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0174, 0.0000, 0.2518, -0.0004, 0.0055, 0.0022, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.0634, 0.0143, -0.9946, -0.1037, -0.1120, 0.1881, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2842, -0.3210, 0.7144, -0.5530, -0.0124, 0.9583, 1.2213, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0200, 2, -0.1981, -0.0515, -0.9951, -0.0180, 0.1028, -0.0230, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0969, -0.0188, 0.0042, 0.0018, 0.0153, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.0659, 0.0137, -0.9985, -0.0677, 0.0801, -0.0051, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2842, -0.3210, 0.7144, -0.5530, -0.0150, 0.9590, 1.2253, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.0636, 0.0104, -0.9966, -0.0121, -0.1578, -0.0565, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2842, -0.3210, 0.7144, -0.5530, -0.0127, 0.9622, 1.2234, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0300, 3, 0.0098, -0.0324, -0.9994, -0.5034, 0.1002, -0.0761, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0173, 0.0000, 0.2518, -0.0011, -0.0012, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0300, 3, -0.1956, -0.0507, -0.9946, -0.0180, -0.0547, -0.0930, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0969, -0.0188, 0.0017, 0.0010, 0.0148, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0400, 4, 0.0092, -0.0333, -1.0002, 0.4310, 0.0186, 0.0222, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0173, 0.0000, 0.2518, -0.0005, -0.0003, 0.0008, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0400, 4, -0.1984, -0.0492, -0.9951, 0.0520, -0.0722, -0.0580, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0969, -0.0188, 0.0045, -0.0005, 0.0153, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0400, 4, 0.0642, 0.0141, -0.9941, 0.0907, 0.1511, -0.0584, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2842, -0.3210, 0.7144, -0.5530, -0.0133, 0.9585, 1.2209, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0500, 5, 0.0644, 0.0114, -0.9957, -0.0522, 0.2158, 0.0640, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2842, -0.3210, 0.7144, -0.5530, -0.0134, 0.9612, 1.2225, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0500, 5, 0.0101, -0.0354, -0.9996, -0.0254, 0.0258, -0.0866, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0173, 0.0000, 0.2519, -0.0014, 0.0018, 0.0002, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0500, 5, -0.1965, -0.0513, -0.9959, 0.1220, 0.1203, -0.1630, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0969, -0.0187, 0.0027, 0.0016, 0.0161, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0600, 6, 0.0069, -0.0300, -1.0036, 0.0446, 0.0592, -0.0513, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0173, 0.0000, 0.2519, 0.0018, -0.0036, 0.0042, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0600, 6, 0.0644, 0.0138, -0.9971, 0.0227, -0.2272, 0.0136, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2842, -0.3210, 0.7144, -0.5530, -0.0134, 0.9588, 1.2240, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0600, 6, -0.1960, -0.0504, -0.9958, -0.1101, 0.0890, 0.0597, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0969, -0.0187, 0.0022, 0.0007, 0.0160, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0700, 7, 0.0630, 0.0142, -0.9939, 0.0720, 0.2706, -0.0589, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2842, -0.3210, 0.7144, -0.5530, -0.0120, 0.9584, 1.2207, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0700, 7, 0.0095, -0.0344, -1.0018, 0.4850, 0.0192, -0.0472, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0173, 0.0000, 0.2519, -0.0008, 0.0008, 0.0024, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0700, 7, -0.1964, -0.0517, -0.9947, -0.0066, -0.1373, 0.0465, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0969, -0.0188, 0.0025, 0.0020, 0.0149, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0800, 8, 0.0081, -0.0339, -1.0018, -0.0624, 0.0243, 0.0178, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0173, 0.0000, 0.2519, 0.0006, 0.0003, 0.0024, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0800, 8, -0.1949, -0.0497, -0.9942, -0.0766, 0.1077, 0.0290, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0267, 0.0968, -0.0188, 0.0011, 0.0000, 0.0144, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0800, 8, 0.0659, 0.0139, -0.9958, -0.0317, -0.1403, -0.0570, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2842, -0.3210, 0.7144, -0.5530, -0.0149, 0.9587, 1.2226, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.0900, 9, 0.0110, -0.0336, -1.0009, 0.1114, -0.1189, 0.1251, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0173, 0.0000, 0.2518, -0.0023, 0.0001, 0.0015, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.0900, 9, -0.1981, -0.0500, -0.9963, 0.1334, -0.0673, 0.0640, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0267, 0.0968, -0.0188, 0.0044, 0.0004, 0.0165, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1000, 10, 0.0083, -0.0345, -1.0009, 0.1828, 0.0024, 0.1075, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0173, 0.0000, 0.2518, 0.0004, 0.0010, 0.0015, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.0900, 9, 0.0621, 0.0138, -0.9945, -0.0024, -0.1565, -0.0063, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2842, -0.3210, 0.7144, -0.5530, -0.0112, 0.9588, 1.2213, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1000, 10, -0.1964, -0.0493, -0.9941, -0.0241, 0.1427, -0.0935, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0267, 0.0968, -0.0188, 0.0027, -0.0003, 0.0143, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1100, 11, 0.0088, -0.0329, -0.9996, 0.0635, 0.0084, -0.1381, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, -0.0003, -0.0006, 0.0002, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1000, 10, 0.0671, 0.0115, -0.9971, -0.0071, 0.2178, 0.0966, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7144, -0.5530, -0.0160, 0.9611, 1.2238, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1100, 11, -0.1957, -0.0499, -0.9944, 0.0459, -0.0498, 0.0465, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0267, 0.0968, -0.0188, 0.0020, 0.0004, 0.0146, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1200, 12, 0.0076, -0.0351, -1.0005, 0.0976, 0.0241, -0.0681, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, 0.0004, 0.0018, 0.0011, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1100, 11, 0.0632, 0.0136, -0.9949, -0.0390, -0.2802, 0.1866, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7144, -0.5530, -0.0119, 0.9590, 1.2215, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1200, 12, -0.1971, -0.0486, -0.9948, -0.0066, 0.0727, 0.0465, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0267, 0.0968, -0.0188, 0.0034, -0.0009, 0.0150, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1300, 13, 0.0093, -0.0336, -1.0013, -0.0986, -0.0455, 0.0529, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, -0.0013, 0.0003, 0.0019, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1200, 12, 0.0618, 0.0132, -0.9952, -0.1466, 0.1660, 0.0450, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7144, -0.5530, -0.0105, 0.9594, 1.2218, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1400, 14, 0.0091, -0.0325, -1.0007, -0.0934, 0.0262, 0.0025, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, -0.0011, -0.0007, 0.0012, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1300, 13, -0.1964, -0.0505, -0.9946, 0.0809, 0.0727, -0.0410, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0269, 0.0968, -0.0188, 0.0027, 0.0009, 0.0148, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1300, 13, 0.0648, 0.0133, -0.9964, 0.0298, 0.0474, 0.0799, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7144, -0.5530, -0.0134, 0.9594, 1.2231, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1400, 14, -0.1967, -0.0488, -0.9953, 0.0284, 0.0552, -0.0410, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0269, 0.0968, -0.0187, 0.0030, -0.0011, 0.0155, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1500, 15, 0.0089, -0.0347, -1.0009, -0.1168, 0.0081, 0.0732, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2518, -0.0010, 0.0015, 0.0015, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1400, 14, 0.0618, 0.0121, -0.9973, -0.0560, -0.0370, -0.0242, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7144, -0.5530, -0.0105, 0.9605, 1.2240, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1600, 16, 0.0095, -0.0331, -1.0004, -0.1669, 0.1157, -0.0678, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, -0.0015, -0.0001, 0.0009, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1500, 15, 0.0646, 0.0128, -0.9961, -0.0416, 0.2529, 0.0267, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7144, -0.5530, -0.0132, 0.9598, 1.2228, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1600, 16, 0.0647, 0.0147, -0.9947, 0.0298, -0.0045, 0.1151, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7144, -0.5530, -0.0132, 0.9579, 1.2214, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1500, 15, -0.1977, -0.0478, -0.9948, -0.0766, -0.0498, -0.0585, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0269, 0.0968, -0.0187, 0.0040, -0.0021, 0.0149, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1600, 16, -0.1970, -0.0496, -0.9943, -0.0932, 0.1045, -0.0342, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0269, 0.0968, -0.0187, 0.0034, -0.0002, 0.0145, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1700, 17, 0.0079, -0.0358, -0.9995, -0.1141, -0.0234, -0.1013, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, 0.0001, 0.0025, 0.0001, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1700, 17, 0.0607, 0.0145, -0.9964, -0.0216, -0.0205, 0.0280, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7144, -0.5530, -0.0092, 0.9581, 1.2231, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1800, 18, 0.0080, -0.0343, -1.0003, -0.1839, 0.1166, -0.1028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, 0.0001, 0.0010, 0.0009, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1700, 17, -0.1971, -0.0498, -0.9940, 0.1176, 0.2062, -0.0623, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0269, 0.0968, -0.0187, 0.0035, -0.0000, 0.0142, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1800, 18, 0.0642, 0.0131, -0.9962, -0.1274, 0.0300, 0.0107, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7144, -0.5530, -0.0127, 0.9595, 1.2229, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1800, 18, -0.1983, -0.0503, -0.9940, -0.0574, 0.0312, -0.0973, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0968, -0.0187, 0.0047, 0.0005, 0.0142, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.1900, 19, 0.0078, -0.0329, -1.0003, 0.2539, -0.0993, 0.0073, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, 0.0002, -0.0003, 0.0008, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.1900, 19, 0.0636, 0.0134, -0.9945, -0.1676, -0.1327, -0.0817, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7144, -0.5529, -0.0121, 0.9592, 1.2212, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.2000, 20, 0.0077, -0.0318, -1.0004, -0.0454, -0.1473, -0.0300, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, 0.0004, -0.0015, 0.0010, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2000, 20, 0.0649, 0.0148, -0.9939, 0.0248, -0.0630, -0.0478, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7145, -0.5529, -0.0134, 0.9578, 1.2207, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.1900, 19, -0.1972, -0.0501, -0.9948, -0.0224, 0.0137, -0.0448, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0968, -0.0187, 0.0036, 0.0004, 0.0149, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.2100, 21, 0.0087, -0.0326, -1.0014, -0.0789, -0.0412, -0.1008, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, -0.0007, -0.0006, 0.0020, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.2000, 20, -0.1979, -0.0504, -0.9960, -0.0049, -0.0738, 0.0252, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0968, -0.0187, 0.0043, 0.0007, 0.0162, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.2100, 21, -0.1956, -0.0482, -0.9951, -0.0749, -0.0213, 0.0602, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0968, -0.0187, 0.0019, -0.0015, 0.0153, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2100, 21, 0.0625, 0.0124, -0.9960, -0.1710, 0.0702, 0.0395, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7145, -0.5529, -0.0109, 0.9602, 1.2228, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.2200, 22, 0.0069, -0.0357, -1.0023, -0.2559, 0.0465, -0.0331, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, 0.0011, 0.0025, 0.0029, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2200, 22, 0.0654, 0.0133, -0.9977, -0.0652, 0.0197, 0.0569, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7145, -0.5529, -0.0137, 0.9593, 1.2245, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.2300, 23, 0.0111, -0.0331, -1.0014, 0.1142, 0.0422, -0.0299, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, -0.0031, -0.0001, 0.0019, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.2200, 22, -0.1944, -0.0502, -0.9944, 0.1001, -0.0388, 0.0077, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0968, -0.0187, 0.0008, 0.0006, 0.0146, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2300, 23, 0.0661, 0.0122, -0.9949, -0.0998, 0.0548, -0.0130, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7145, -0.5529, -0.0144, 0.9603, 1.2218, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.2400, 24, 0.0075, -0.0331, -0.9988, 0.0582, 0.0203, 0.0822, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, 0.0005, -0.0002, -0.0006, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2400, 24, 0.0613, 0.0128, -0.9950, -0.1326, -0.1672, -0.0467, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7145, -0.5529, -0.0097, 0.9597, 1.2219, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.2500, 25, 0.0068, -0.0329, -1.0012, 0.1296, 0.0879, -0.0147, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, 0.0012, -0.0003, 0.0018, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.2300, 23, -0.1972, -0.0507, -0.9939, -0.0399, 0.1187, -0.1148, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0968, -0.0187, 0.0036, 0.0010, 0.0141, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.2600, 26, 0.0089, -0.0332, -1.0035, 0.0946, 0.0368, -0.0496, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, -0.0009, -0.0000, 0.0041, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2500, 25, 0.0644, 0.0119, -0.9949, 0.0768, 0.0576, -0.0661, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7145, -0.5529, -0.0128, 0.9607, 1.2218, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.2400, 24, -0.1979, -0.0513, -0.9954, -0.0399, -0.0213, 0.0777, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0968, -0.0187, 0.0044, 0.0016, 0.0155, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.2700, 27, 0.0064, -0.0340, -1.0008, 0.1657, 0.0885, -0.0668, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, 0.0017, 0.0008, 0.0014, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.2500, 25, -0.1965, -0.0494, -0.9943, 0.0826, 0.1012, 0.0777, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0968, -0.0187, 0.0030, -0.0003, 0.0144, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2600, 26, 0.0649, 0.0129, -0.9954, 0.0771, -0.0286, -0.0307, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7145, -0.5529, -0.0132, 0.9597, 1.2222, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.2800, 28, 0.0097, -0.0322, -0.9995, -0.0819, -0.0307, -0.0507, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, -0.0017, -0.0011, 0.0001, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.2600, 26, -0.1982, -0.0495, -0.9975, -0.0403, 0.0272, -0.0593, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0968, -0.0187, 0.0046, -0.0002, 0.0177, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2700, 27, 0.0630, 0.0139, -0.9947, -0.0120, -0.0311, 0.0569, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7145, -0.5529, -0.0114, 0.9586, 1.2215, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.2900, 29, 0.0075, -0.0350, -1.0021, 0.0403, 0.0877, 0.0543, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, 0.0006, 0.0018, 0.0027, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2800, 28, 0.0626, 0.0128, -0.9964, -0.1867, 0.0207, -0.0650, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7145, -0.5529, -0.0110, 0.9598, 1.2232, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.2700, 27, -0.1974, -0.0504, -0.9949, -0.0766, -0.0022, 0.0547, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0968, -0.0187, 0.0039, 0.0007, 0.0150, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.2800, 28, -0.1971, -0.0494, -0.9951, 0.1509, -0.0197, 0.0547, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0967, -0.0187, 0.0036, -0.0003, 0.0152, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.3000, 30, 0.0108, -0.0330, -0.9991, 0.0219, 0.0006, 0.0722, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0003, 0.2519, -0.0027, -0.0003, -0.0003, 0.0000, 0.0000, 0.0000, 0.0000
1, 0.2900, 29, 0.0634, 0.0142, -0.9950, 0.0978, -0.2118, -0.0452, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.2844, -0.3209, 0.7145, -0.5529, -0.0118, 0.9584, 1.2218, 0.0000, 0.0000, 0.0000, 0.0000
2, 0.2900, 29, -0.1962, -0.0488, -0.9951, 0.0459, -0.0372, 0.0372, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9948, -0.0268, 0.0967, -0.0187, 0.0028, -0.0009, 0.0153, 0.0000, 0.0000, 0.0000, 0.0000
3, 0.3100, 31, 0.0094, -0.0343, -0.9992, -0.1680, 0.0244, -0.1567, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.9676, -0.0171, 0.0002, 0.2519, -0.0013, 0.0010, -0.0002, 0.0000, 0.0000, 0.0000, 0.0000
